ID;NAME;ALTERNATE_NAMES;LAT;LON;STATUS;FIRST_ASCENT_ON;FIRST_ASCENT_BY;DESCRIPTION;PROVINCE;DISTRICT;MUNICIPALITY;RANGE;NEPALESE_FEES;FOREIGNER_FEES
JUNC;Junction Peak;;28.721797;83.276998;;;;;Gandaki Pradesh;Dolpa/Myagdi;Chharka Tongsong/Dhawalagiri;Dhaulagiri;Sp 8000 (NRs);Sp 600 (USD)
KABD;Kabru Dome;;27.577504;88.216788;;;;Located South East of Kabru in India;Gandaki Pradesh;Dolpa/Myagdi;;Dhaulagiri;;
KABS;Kabru South;;27.60833;88.11166;;;;Located South of the Kabru Main Peak;Province 1;Taplejung;Phaktanglung;Kanchenjunga;;
KAGA;Kanta Gaton;Kangfu Gaton;29.103333;82.995833;;;;;Karnali Pradesh;Dolpa;;Kanjiroba;;
KAN1;Kande Hiunchuli North  I;;29.421508;82.584929;Opened;;;Just West of the main Kande Hiunchuli North peak (also called Patrasi or Sisne Himal East);Karnali Pradesh;Mugu/Dolpa;Jagdulla/Mugu Makarmarong;Patrasi;Spring 4000, Autumn 2000, Winter/Summer 1000;Spring 250, Autumn 125, Winter/Summer 70
KAN2;Kande Hiunchuli North  II;;29.416929;82.581923;Opened;;;Just South-West of the main Kande Hiunchuli North peak (also called Patrasi or Sisne Himal East);Karnali Pradesh;Mugu/Dolpa;Jagdulla/Mugu Makarmarong;Patrasi;Spring 4000, Autumn 2000, Winter/Summer 1000;Spring 250, Autumn 125, Winter/Summer 70
KORL;Korlang Pari Tippa;Korlang Pari Tippa North;28.173625;86.187621;;;;;Bagmati Pradesh;Dolakha/NC;;Rolwaling;;
LAMP;Langbo Kangri;Langpo Kangri, Lampo;28.50764695;85.15499632;;;;;Gandaki Pradesh;Gorkha/NC;Dharche/NC;Ganesh;;
LNKE;Lunchhung Kamo East;;;;;;;;Karnali Pradesh;Dolpa;;Kanti;;
LUN2;Lunag II;;28.051905;86.550244;;;;;Province 1;Solukhumbu/NC;Khumbu Pasang Lhamu/NC;Mahalangur;Spring 5000, Autumn 2500, Winter/Summer 1250;Spring 400, Autumn 200, Winter/Summer 100
LUZA;Luza;;27.888105;86.694078;;;;;Province 1;Solukhumbu;;Mahalangur;;
MACH;Machhapuchhare;Machapuchare, Fishtail;28.498007;83.946192;Closed;;;Machapuchare, Machhapuchchhre or Machhapuchhre (meaning 'fishtail'), is a mountain in the Annapurna Himalayas of north central Nepal. It is revered by the local population as particularly sacred to the god Shiva, and hence is off limits to climbing.;Gandaki Pradesh;Kaski;;Annapurna;;
MATA;Matathumba;Matatumpa,Ghyuthumba East;;;;;;;Karnali Pradesh;Dolpa/NC;;Jagdula Lekh;;
MING;Mingbo Ri;;;;;;;;Province 1;Solukhumbu;;Khumbu;;
MPNE;Manapathi NE;;28.650945;83.467265;Opened;;;;Gandaki Pradesh;Myagdi;Dhawalgiri/Raghuganga;Dhaulagiri;Spring 4000, Autumn 2000, Winter/Summer 1000;Spring 250, Autumn 125, Winter/Summer 70
MYAG;Myagdi Matha;Myagumath;28.661404;83.321287;;;;;Gandaki Pradesh;Myagdi;Dhawalagiri;Dhaulagiri;;
NALS;Nalakankar South;;30.352819;81.405957;;;;;Karnali Pradesh;Humla/NC;;Nalakankar;;
NGOR;Nagoru;Nagoru Central;28.846886;84.301767;;;;;Gandaki Pradesh;Manang/NC;;Peri;;
NILE;Nilgiri East;;28.68848;83.76374;Opened;;;;Gandaki Pradesh;Mustang/Myagdi;Gharpajhong/Annapurna;Nilgiri;Rs. 6000 in summer, Rs. 3000 in autumn and Rs. 1500 in winter;$500.00 in summer, $250.00 in autumn and $125.00 in winter
NUPE;Nuptse East I;;27.9673;86.886637;Opened;;;;Province 1;Solukhumbu;Khumbu Pasang Lhamu;Mahalangur;Rs.2000 in Summer and Winter, Rs.4000 in Autumn and seasons and Rs.8000 in Spring.;$150.00 in Summer and Winter, $300.00 in Autumn and $600.00 in Spring
OMBK;Ombak Himal;;;;;;;;;NC;;Janak;;
OMRC;Omoga Ri Chang;;;;;;;;Province 1;Solukhumbu;;Khumbu;;
PAWR;Pawar Central;Chaar Baatsa;28.696042;84.508769;;;;;Gandaki Pradesh;Manang/Gorkha;Nashong/Chum;Manaslu;;
PHNH;Phungi Himal;;28.5541;84.483065;;;;;Gandaki Pradesh;Manang;Nashong/Chum;Manaslu;;
PHUG;Phu Kang Go;Phu Khang Go,Athahra Saya Khola Himal;28.734702;84.49172;;;;;Gandaki Pradesh;Manang/NC;Nashong/NC;Peri;;
PLNG;Palung;Palung Ri;28.129182;86.644638;;;;Located in Tibet North-West of Cho Oyu;Gandaki Pradesh;Gorkha;;Khumbu;;
POIN;Pointed Peak;;;;;;;;Province 1;Solukhumbu;;Khumbu;;
RANI;Rani Peak;Lidanda Peak,Himalchuli Northeast;28.46624;84.6896;;;;;Gandaki Pradesh;Gorkha;;Manaslu;;
ROMA;Roma;Mt. Roma;29.804326;81.347198;Opened;;;;Sudhurpashchim Pradesh;Bajhang;;Saipal;;
SNOW;Snow Peak;;;;;;;;Gandaki Pradesh;Myagdi;;Dhaulagiri;;
SRKU;Serku Dolma;Serku Dholmā;29.338006;82.762538;;;;;Karnali Pradesh;Dolpa;;Kanjiroba;;
TAWA;Tawa;Tawa Himal;28.835364;83.95719;;;;;Gandaki Pradesh;Mustang/Manang;;Damodar;;
THAR;Tharpu Chuli;Tharpu Chull;28.561666;83.889245;Opened;;;;Gandaki Pradesh;Kaski;Annapurna;Annapurna;;
TONG;Tongu;;;;;;;;Gandaki Pradesh;Dolpa/Mustang;;Mukut;;
TRIA;Triangle Peak;;28.272326;85.739483;;;;;Bagmati Pradesh;Rasuwa/NC;Gosai Kunda/NC;Langtang;;
