PEAKID,URL,LAT,LON,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO,PCLIMBED,PHOST_DESC,IS_HD_PEAK
ANN2,https://nepalhimalpeakprofile.org/annapurna-ii,28.534722222222225,84.12416666666665,,Gandaki Pradesh,Kaski/Manang,Madi/Nesyang,Annapurna,Spring 8000 (NRs),Spring 600 (USD),Annapurna II,,Annapurna Himal,7937.0,26040.0,1.0,5.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7937m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann",1960.0,1.0,ANN260101,1960-05-17,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa",,Dyhrenfurth history 1960-1976 (MM 51:36-37 Sep 1976),N Face (MM 51:36 Sep 1976),True,Nepal only,True
ANN3,https://nepalhimalpeakprofile.org/annapurna-iii,28.584444444444443,83.99166666666667,,Gandaki Pradesh,Kaski/Manang,Nesyang/Machhapuchhre,Annapurna,Spring 8000 (NRs),Spring 600 (USD),Annapurna III,,Annapurna Himal,7555.0,24787.0,1.0,5.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7555m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann",1961.0,1.0,ANN361101,1961-05-06,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",,,"S Side (MM 125:11 Jan 1989)
SW Face (MM 71:13 Jan 1980)
S Buttress (AAJ 58:249 1984)
W Face (AAJ 53:60 1979)
SW Face (High 228:80 Nov 2001)  ",True,Nepal only,True
ANN4,https://nepalhimalpeakprofile.org/annapurna-iv,28.53666666666667,84.085,,Gandaki Pradesh,Kaski,Machhapuchhre/Madi,Annapurna,Spring 8000 (NRs),Spring 600 (USD),Annapurna IV,,Annapurna Himal,7525.0,24688.0,1.0,5.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7525m - HMG-MT, HMG-Finn, Nepa, Shangri La, Schneider, Japan MMW, Leomann",1955.0,1.0,ANN455101,1955-05-30,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",,,"SW Pillar (High 198:40 May 1999) 
SW Side (AAJ 73:367 1999)",True,Nepal only,True
ANNE,,28.61277778,83.83694444,Annapurna I East is a subsidiary mountain of Annapurna I Main located in Nepal.,Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 10000 (NRs),Spring 1800 (USD),Annapurna I East,,Annapurna Himal (ENE of Annapurna I),8026.0,26332.0,1.0,5.0,True,False,False,,Requires permit for Annapurna I,1.0,2.0,"Other map altitudes:
   8000m - Leomann",1974.0,1.0,ANNE74101,1974-04-29,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",,,N Side (MM 88:41 Nov 1982),True,Nepal only,True
ANNM,,28.60002778,83.83336111,Annapurna I East is a subsidiary mountain of Annapurna I Main located in Nepal.,Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 10000 (NRs),Spring 1800 (USD),Annapurna I Middle,,Annapurna Himal (ENE of Annapurna I),8051.0,26414.0,1.0,5.0,True,False,False,,Requires permit for Annapurna I,1.0,2.0,"Other map altitudes:
   8013m - HMG-Finn
   8051m - Leomann",1980.0,3.0,ANNM80301,1980-10-03,W Germany,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",,,,True,Nepal only,True
ANNS,https://nepalhimalpeakprofile.org/annapurna-south,28.51833333333333,83.80805555555555,,Gandaki Pradesh,Myagdi/Kaski,Annapurna/Annapurna,Annapurna,Spring 6000 (NRs),Spring 500 (USD),Annapurna South,"Annapurna Dakshin, Moditse",Annapurna Himal (S of Annapurna I and Fang),7219.0,23684.0,1.0,5.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7219m - HMG-MT, HMG-Finn, Nepa, Schneider, Japan MMW, Leomann
   7220m - Shangri La",1964.0,3.0,ANNS64301,1964-10-15,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa",,,"S Face (High 155:9 Oct 1995)
S Face (AAJ 69:256 1995) (Russian 1994 route)
E Rib of S Face (AAJ 63:218-220 1989) (Polish 1988 route)
W Face (AAJ 53:625 1980) (Polish 1979 route)
S Ridge (AAJ 53:275 1979)",True,Nepal only,True
APIM,https://nepalhimalpeakprofile.org/api,30.005277777777778,80.93166666666667,,Sudhurpashchim Pradesh,Darchula,Byas,Byas,Spring 6000 (NRs),Spring 500 (USD),Api Main,,Api Himal,7132.0,23399.0,2.0,7.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7132m - HMG-MT, HMG-Finn, Japan MMW, Leomann

Api was erroneously called Nampa by Heim & Gansser after their exploration in 1936.",1960.0,1.0,APIM60101,1960-05-10,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",1st ascent claimed by UK (H. S. Landor) in 1899 but probably reached only 5000m,,"SE Face (High 175:82 Jun 1997)
SE Face (AAJ 71:15 1997) (Slovene 1996 route)
S Face/E Ridge (AAJ 53:279 1979)
NW Ridge (HJ 41:59 1983-84)
N Side (AAJ 59:424 Nov 1954)

Api-Nampa-Saipal Map (Ghiglione, pg 160)
Api-Nampa Relief Map (AAJ 59:427 Nov 1954)",True,Nepal only,True
APIW,https://nepalhimalpeakprofile.org/api-west,30.001666666666665,80.92555555555556,,Sudhurpashchim Pradesh,Darchula,Byas,Byas,Spring 6000 (NRs),Spring 500 (USD),Api West,,Api Himal (W of Api),7076.0,23215.0,2.0,7.0,True,False,False,,Opened,1.0,1.0,"Other map altitudes:
   7076m - HMG-Finn
   7100m - HMG-MT, Japan MMW, Leomann",,0.0,,,,Unclimbed,,,,False,Nepal only,True
ARDN,https://nepalhimalpeakprofile.org/ardang,30.198888888888888,81.62333333333332,Ardang located in the Karnali Province of Nepal is part of Chandi sub range. The main entry point for Ardang is through flight to Simikot.,Karnali Pradesh,Humla,Namkha,Chandi,Spring 4000 (NRs),Spring 250 (USD),Ardang,Chyoro Ri,Phupharka Himal (NW of Simikot),6034.0,19797.0,17.0,7.0,True,False,False,,Opened in 2014,1.0,2.0,"Other map altitudes:
   6034m - HMG-MT, HMG-Finn",2019.0,3.0,ARDN19301,2019-11-13,Canada,"Bryce Brown, Sunny Twelker",,,,True,Nepal only,True
ARNK,https://nepalhimalpeakprofile.org/araniko-chuli,29.176111111111112,83.65944444444445,Araniko or Aruniko is the name after a famous artist of Nepal who went to Tibet in the later 13th Century to design statues for Buddhist monasteries.,Gandaki Pradesh,Dolpa/Mustang,Chharka Tongsong/Dalome,Damodar,fixed Rs (NRs), (USD),Arniko Chuli,Araniko Chuli,Mukut Himal (W Mustang near Tibetan border),6034.0,19797.0,16.0,6.0,True,False,False,,Opened in 2002,4.0,2.0,"Other map alitudes:
   6034m - HMG-MT, HMG-Finn, Nepa",2002.0,2.0,ARNK02201,2002-07-10,"Japan, Nepal","Tamotsu Ohnishi, Ang Phurba Sherpa, Dikki Sherpa",,,,True,Nepal & China,True
ASAJ,https://nepalhimalpeakprofile.org/asajya-tuppa,30.0625,82.27972222222222,,Karnali Pradesh,Humla/NC,Chankheli/NC,Gorakh,Spring 4000 (NRs),Spring 250 (USD),Asajya Tuppa,,Gorakh Himal (ENE of Simikot on Tibetan border),6265.0,20554.0,17.0,7.0,True,False,False,,Opened in 2014,4.0,1.0,"Other map altitudes:
   6265m - HMG-MT, HMG-Finn, Nepa",,0.0,,,,Unclimbed,,,,False,Nepal & China,True
ASJW,https://nepalhimalpeakprofile.org/asajya-tuppa-west,30.0629,82.2662,,Karnali Pradesh,Humla/NC,Chankheli/NC,Gorakh,Spring 4000 (NRs),Spring 250 (USD),Asajya Tuppa West,,,6055.0,19865.0,,,False,,,,Proposed to open,,,,,,,,,,,,,,,False
BAMO,https://nepalhimalpeakprofile.org/bamon-go,27.90861111111111,86.43527777777778,Bamongo is in the Rolwaling Himal mountain range of Nepal Himalayas. Bamon Go is an open mountain peak for expedition. Bamon Go is on the boundary of Dolakha and China. Bamon Go is on the boundary of Bagmati Province and China. Bamon Go is on the boundary of Gaurishankar gaupalika and China. Bamon Go is 1.0km west of Khang Nachu Go and 1.9 km east of Cheki Go.,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Gaurishankar,NRs 4000 in spring season (NRs),USD 250 in spring season (USD),Bamongo,,Rolwaling Himal (E of Chekigo on Tibetan border),6400.0,20997.0,19.0,2.0,True,False,False,,Opened in 2002,4.0,2.0,"Other map altitudes:
   6400m - Nepa, Shangri La, Schneider, Japan MMW
   6406m - HMG-MT

No altitude given on HMG-Finn map.",2013.0,3.0,BAMO13301,2013-10-30,"Nepal, China","Mingma Gyalje Sherpa, Yong Liu, Pema Chhiring/Chhiri Sherpa",,,,True,Nepal & China,True
BARU,https://nepalhimalpeakprofile.org/barun-tse,27.87138888888889,86.98277777777778,"Barun Tse is a mountain located in Mahalangur ridge in the Khumbu region of eastern Nepal, crowned by four peaks and bounded on the south by Hunku Glacier, on the east by Barun Glacier, and on the northwest by Imja glacier.
 Barun Tse peak 7152 meters is located jus south of the semi- circle of fantastic mountains comprising Everest, Lhotse and Nuptse and Makalu on the other side. The expedition to Barun Tse peak approaches base camp through the pristine wilderness environment of the Hinku valley and the renowned Mera La of Makalu Barun remote valleys of Nepal.
Accessing the mountain is usually gained from the south, where climbers can ascend Mera Peak to acclimatize before moving up the valley to Barun Tse base camp. 
The route of south-east ridge of Barun Tse is filled with hard sections of 50 degrees elevation with a prominent ice cliff to be climbed facing the risk of avalanche that is why it is the difficult way. Base camp of Barun Tse is located nearby Panchpokhari(5200m)",Province 1,Solukhumbu/Sankhuwasabha,Makalu/Mahakulung,Barun,Rs (NRs),125 (USD),Baruntse,,Khumbu Himal (W of Makalu),7152.0,23465.0,12.0,2.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   7152m - HMG-MT, HMG-Finn, Nepa
   7168m - NGS/Washburn Everest, Kielkowski
   7220m - Shangri La, Schneider, Japan MMW",1954.0,1.0,BARU54101,1954-05-29,New Zealand,"Colin Todd, Geoff Harrow",,,"NE Side (High 138:6 May 1994)
W Side of N Smt (High 144:37 Nov 1994)
N Ridge (AAJ 63:193 1989)
SE Ridge (AAJ 59:71 1985) 
NW Side (AAJ 58:232 1984) (Dutch 1983 route)",True,Nepal only,True
BAUD,https://nepalhimalpeakprofile.org/baudha-himal,28.37555555555556,84.67888888888889,"Baudha Himal located in the Gandaki Pradesh, Western Development Region of Nepal is part of Manaslu sub range of the Nepalese Himalayas.",Gandaki Pradesh,Lamjung/Gorkha,Dordi/Chum,Mansiri,Spring 5000 (NRs),Spring 400 (USD),Baudha,,Mansiri Himal (SE of Manaslu and Himalchuli),6672.0,21890.0,15.0,4.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   6672m - HMG-MT, HMG-Finn, Nepa, Shangri La, Japan MMW",1970.0,1.0,BAUD70101,1970-05-02,Japan,"Yoshiyuki Kobayashi, Kiyoyasu Shibata",,,,True,Nepal only,True
BEDG,https://nepalhimalpeakprofile.org/bedding-go,27.925833333333333,86.39305555555556,,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Rolwaling,Spring 4000 (NRs),Spring 250 (USD),Beding Go,Bedding Go,Rolwaling Himal (N of Beding village on Tibetan border),6125.0,20095.0,19.0,2.0,True,False,False,,Opened in 2014,4.0,2.0,"Other map altitudes:
   6125m - HMG-MT, HMG-Finn
   6126m - Schneider",2015.0,3.0,BEDG15301,2015-10-21,"Nepal, Canada, Brazil, Ireland","Mingma Tshering/Tsiri Sherpa, Dean Carriere, Dino De Almeida Camargo, Cian O'Brolchain, Nima Gyalzen Sherpa, Pasang Tenzing Sherpa, Tshering Pemba Sherpa",,,,True,Nepal & China,True
BHEM,https://nepalhimalpeakprofile.org/bhemdang-ri,28.273333333333333,85.66777777777779,"Bhemdang Ri, also known as Morimoto, is in the Central Development region of Nepal. Bhemdang Ri is approximately 72 km or 45 miles away from the capital Kathmandu.",Bagmati Pradesh,Rasuwa,Gosai Kunda,Langtang,Rs (NRs), (USD),Bhemdang Ri,Morimoto,Jugal Himal (SE of Shalbachum),6150.0,20177.0,13.0,3.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   5951m - Nepa, Schneider
   6150m - HMG-MT, HMG-Finn
   6750m - Shangri La, Japan MMW",1964.0,1.0,BHEM64101,1964-05-10,"Japan, Nepal","Tetsuya Kondo, Soshiro Sasaki, Mingma Tshering Sherpa",,,,True,Nepal only,True
BHRI,https://nepalhimalpeakprofile.org/bhrikuti,28.91888888888889,84.14750000000001,,Gandaki Pradesh,Mustang,Dalome,Damodar,Spring 4000 (NRs),Spring 250 (USD),Bhrikuti,Damodar Himal,Damodar Himal (NE of Thorong La near Tibetan border),6476.0,21247.0,3.0,5.0,True,False,False,,Opened in 2014,1.0,2.0,"Other map altitudes:
   6476m - HMG-MT, HMG-Finn, Nepa

There are three peaks of 6476m, 6460m and 6328m and another peak to the west of 6425m (now called Futi Himal) in this range. It is not clear which of these peaks (if any) the early Bhrikuti teams attempted.

The Ministry also lists Kesang Khang (UAAA Peak) at 6476m which may be in the Bhrikuti range (but the coordinates given are located outside of Nepal). ",1982.0,1.0,BHRI82101,1982-05-18,"Japan, Nepal","Takashi Sakuma, Masanobu Tsuchiya, Tashi Jangbu Sherpa",1-3rd ascents claimed,History 1982-1998 (High 198:42 May 1999)   ,,True,Nepal only,True
BHRS,https://nepalhimalpeakprofile.org/bhrikuti-shail,28.89388888888889,84.22833333333334,,Gandaki Pradesh,Mustang/Manang,Dalome/NarPhu,Damodar,Spring 4000 (NRs),Spring 250 (USD),Bhrikuti Shail,,Damodar Himal (NE of Thorong La on Tibetan border),6361.0,20869.0,3.0,5.0,True,False,False,,Opened,4.0,2.0,"Other map altitudes:
   6361m - HMG-MT, HMG-Finn, Nepa",2005.0,1.0,BHRS05101,2005-05-16,"France, Nepal","Paulo Grobel, Denis Flaven, Bikram Singh",,,,True,Nepal & China,True
BHUL,https://nepalhimalpeakprofile.org/bhulu-lhasa,29.441388888888888,82.59944444444444,Bhulu Lhasa located in the Mugu district is part of Kanjiroba sub range of the Nepalese Himalayas.,Karnali Pradesh,Mugu,Mugu Makarmarong,Kanjiroba,Spring 4000 (NRs),Spring 250 (USD),Bhulu Lhasa,,Kanjiroba Himal (NNW of Kanjiroba North),6102.0,20020.0,10.0,7.0,True,False,False,,Opened in 2014,1.0,2.0,"Other map altitudes:
   6102m - HMG-MT, HMG-Finn",1964.0,3.0,BHUL64301,1964-10-31,"UK, Nepal","John Tyson, John Cole, Robert Kendall, Mingma Sherpa",,,,True,Nepal only,True
BIJO,https://nepalhimalpeakprofile.org/bijora-hiun-chuli,29.291944444444447,82.53083333333333,"Bijora Hiun Chuli, located in the Mid-Western Region of Nepal, is approximately 117 km or 72 miles away from the Region capital, Biratnagar. It is approximately 325 km or 202 miles away from the country capital Kathmandu.",Karnali Pradesh,Jumla,Patarasi,Kanjiroba,Rs (NRs), (USD),Bijora Hiunchuli,,Jagdula Lekh (S of Kande Huinchuli),6111.0,20049.0,10.0,7.0,True,False,False,,Opened in 2014,1.0,1.0,"Other map altitudes:
   6111m - HMG-MT, HMG-Finn, Nepa",,0.0,,,,Unclimbed,,,,False,Nepal only,True
BOBA,https://nepalhimalpeakprofile.org/bobaye-chuli,29.959166666666665,81.0225,,Sudhurpashchim Pradesh,Darchula/Bajhang,Api Himal/Kanda,Byas,Spring 5000 (NRs),Spring 400 (USD),Bobaye,,Api Himal (S of Nampa),6808.0,22336.0,2.0,7.0,True,False,False,,Opened,1.0,2.0,"Other map altitudes:
   6808m - HMG-MT, HMG-Finn, Nepa, Japan MMW, Leomann",1996.0,3.0,BOBA96301,1996-11-02,Slovenia,Tomaz Humar,,,"W Face (High 175:83 Jun 1997)
NW Face (AAJ 71:18 1997) (Slovene 1996 route)

Api-Nampa-Saipal Map (Ghiglione, pg 160)",True,Nepal only,True
